ID,Publication Type,Article Title,Source Title,Conference Title,Abstract
264,C,MediFact at MEDIQA-CORR 2024: Why AI Needs a Human Touch,PROCEEDINGS OF THE 6TH CLINICAL NATURAL LANGUAGE PROCESSING WORKSHOP,6th Clinical Natural Language Processing Workshop-ClinicalNLP,"Accurate representation of medical information is crucial for patient safety, yet artificial intelligence (AI) systems, such as Large Language Models (LLMs), encounter challenges in error-free clinical text interpretation. This paper presents a novel approach submitted to the MEDIQA-CORR 2024 shared task (Ben Abacha et al., 2024a), focusing on the automatic correction of single-word errors in clinical notes. Unlike LLMs that rely on extensive generic data, our method emphasizes extracting contextually relevant information from available clinical text data. Leveraging an ensemble of extractive and abstractive questionanswering approaches, we construct a supervised learning framework with domain-specific feature engineering. Our methodology incorporates domain expertise to enhance error correction accuracy. By integrating domain expertise and prioritizing meaningful information extraction, our approach underscores the significance of a human-centric strategy in adapting AI for healthcare.1"
265,J,LEXAQUERY: A HYBRID CHATBOT SYSTEM FOR UNIVERSITY STUDENT INFORMATION SERVICES,MATHEMATICS AND INFORMATICS,,"Universities show a rapidly growing interest in using Artificial Intelligence tools. This paper presents LexaQuery, a new chatbot system for university information services that efficiently handles university information inquiries by combining computational linguistics with SQL database querying. Instead of relying on large, resource-intensive large language models (LLMs), LexaQuery uses rule-based natural language processing to translate student questions into structured SQL. The system has a three-tier architecture comprising language processing for query translation, knowledge extraction (from databases and web scraping), and a user interaction layer. Performance evaluation at the University of Plovdiv Paisii Hilendarski demonstrates that this hybrid approach provides significantly faster response times than neural network-based alternatives while maintaining satisfactory accuracy for domain-specific tasks. The paper discusses the system's advantages in terms of integration with existing university information systems, performance efficiency, explainability, and the ability to operate without extensive computational resources, as well as its linguistic flexibility and limitations in domain adaptation. This research contributes to developing practical, efficient chatbot systems for educational institutions with constrained technical infrastructure."
266,C,"Comparison of Pipelines, Seq2seq Models, and LLMs for Rare Disease Information Extraction","NATURAL LANGUAGE PROCESSING AND INFORMATION SYSTEMS, NLDB 2025, PT I",30th International Conference on Applications of Natural Language to Information Systems-NLDB-Annual,"End-to-end relation extraction (E2ERE) is an important application of natural language processing (NLP) in biomedicine. The extracted relations populate knowledge graphs and drive more high level applications in knowledge discovery and information retrieval. E2ERE is frequently handled at the sentence level involving continuous entities. A more complex setting is document level E2ERE with discontinuous and overlapping/nested entities. We identified a recently introduced RE dataset for rare diseases (RareDis) that has these complex traits. Among current E2ERE methods, we see three well-known paradigms: (1) pipeline based approaches where a named entity recognition (NER) model's output is input to a relation classification (RC) model; (2) joint sequence-to-sequence style models where the raw input text is directly transformed into relations through linearization schemas; and (3) generative large language models (LLMs), where prompts, finetuning, and in-context learning are being leveraged for RE. While LLMs are becoming popular because of tools such as ChatGPT, the biomedical NLP community needs to carefully evaluate which paradigm is more suitable for E2ERE. In this effort, using the RareDis dataset as a complex use-case, we evaluate the best representative models from each of the three paradigms for E2ERE. Our findings reveal that pipeline models are still the best, while sequence-to-sequence models are not far behind. We verify these findings on a second E2ERE dataset for chemical-protein interactions. Although LLMs are more suitable for zero-shot settings, our results show that it is better to work with more conventional models trained and tailored for E2ERE when training data is available. Our contribution is also the first to conduct E2ERE for the RareDis dataset."
267,J,MERGE-PAG: Agent-based multimodal knowledge extraction and reasoning framework for pilot-action graph☆,ADVANCED ENGINEERING INFORMATICS,,"The study of operational actions of experienced pilots and the capture of expert knowledge in the cockpit are highly significant in the aviation training industry. Due to the limitations of textual operation manuals in describing pilot actions, multimodal information contains more relevant action knowledge of pilots, making it a promising avenue for capturing aviation operational knowledge. The multimodal information in the cockpit is often verbose and low in information density, encompassing sustained human-machine interaction, crew collaboration, and multitasking decision-making scenarios. This study aims to structurally represent, identify, and capture aviation knowledge related to pilot operations within multimodal information. This paper first proposes a structured and comprehensive representation of pilot-centered actions in the cockpit through a graphical form called the Pilot-Action Graph (PAG), along with a matrix for describing temporal information known as the Pilot-Cockpit Action Sequence Matrix (PASM). Second, a cross-modal recognition and reasoning learning framework based on a multimodal large language model called MERGE (Multimodal Extraction and Reasoning for Graph Enhancement) is proposed. It consists of two key modules: the Multimodal Extraction Module (MEM), responsible for extracting PASM from multimodal data, and the Reasoning and Graph Enhancement Module (RGEM), which performs logical reasoning and enhances the structure of the PAG. Third, we conduct a comprehensive case study and validation using Xplane simulator videos. The results indicate that MEM can more accurately identify key frames, reduce information loss, and achieve more effective event localization through submodule collaboration. RGEM compares single-agent and multi-agent collaborative learning modes with feedback correction mechanisms, with the latter achieving superior graph structure parameter performance, better information fusion, and enhanced PAG completion. Additionally, reasoning tasks based on the PAG validate that this framework can effectively describe pilot actions and cockpit information. Our proposed method effectively identifies and captures pilot-centered operational aviation knowledge from multimodal information, forming a logical PAG structure. This approach is suitable for multiple tasks and complex scenarios, providing an effective means for aviation knowledge representation and learning."
268,J,An Approach Based on Named Entity Recognition and Semantic Analysis for Recruitment Efficiency and Optimization,INTERNATIONAL JOURNAL OF ADVANCED COMPUTER SCIENCE AND APPLICATIONS,,"Modern recruitment requires smarter, faster, and more inclusive methods to manage the growing volume and diversity of job applications and candidate resumes. Manual screening is often ineffective and unreliable especially in low-resource or multilingual contexts. To address this challenge, we propose an approach that automates and optimizes key stages of the recruitment process. This three-stage approach includes: 1) extracting structured data from resumes using a robust Named Entity Recognition (NER) system, which comprises a NER annotator, a feature extractor, and a transition-based parser; 2) employing a fine-tuned transformer model to perform semantic matching between candidates and job descriptions; and 3) leveraging a large language model to generate interview questions tailored to specific job requirements, thereby improving the relevance and personalization of candidate assessments. The recruitment system was tested on a large-scale resume and job posting dataset across multiple domains. Our NER model reported an F1-score of 85.11% in entity extraction, and the matching component reported accuracy levels as high as 92% when using hierarchical job classes. The results prove the efficacy of combining deep learning techniques with semantic reasoning in enhancing automation, accuracy, and fairness in hiring."
269,J,"Time, technique and text: scoping review of temporal information extraction and categorisation in documents",JOURNAL OF DOCUMENTATION,,"Purpose This paper presents an investigation of the concept of time as aboutness in various texts, including news articles, social media posts and historical documents. The purpose of this paper is to analyse different forms of temporal information and map the techniques used to extract and categorise this information. Design/methodology/approach A scoping review method was adopted to analyse the chosen literature set. This approach allowed for an overview of the different text document types, the techniques used and their temporal information. Findings The findings reveal six temporal types of time-related data analysis: social events, socio-political events, news events, temporal expressions, historical events and time periods. Studies analysing social media, news articles, Wikipedia entries and historical documents provide insights into event detection and categorisation. In these documents, time appears as sequences of events, temporal expressions or distinct periods. In news articles, time appears as a series of occurrences, while temporal expressions reveal how time is linguistically articulated and perceived. The analysis also covers event categorisation methods, emphasising machine learning techniques, natural language processing, large language models and rule-based systems. Originality/value The analysis of different types of time and methods of extracting temporal information from various texts contributes original insights to the understanding of temporal information. The findings reveal a need for expanding document variety, particularly to include fiction literature and point to the potential use of language models for future temporal information categorisation."
270,C,Graphusion: A RAG Framework for Scientific Knowledge Graph Construction with a Global Perspective,"COMPANION PROCEEDINGS OF THE ACM WEB CONFERENCE 2025, WWW COMPANION 2025",2025 Web Conference-WWW,"Knowledge Graphs (KGs) are crucial in the field of artificial intelligence and are widely used in downstream tasks, such as question-answering (QA). The construction of KGs typically requires significant effort from domain experts. Large Language Models (LLMs) have recently been used for Knowledge Graph Construction (KGC). However, most existing approaches focus on a local perspective, extracting knowledge triplets from individual sentences or documents, missing a fusion process to combine the knowledge in a global KG. This work introduces Graphusion, a zero-shot KGC framework from free text. It contains three steps: in Step 1, we extract a list of seed entities using topic modeling to guide the final KG includes the most relevant entities; in Step 2, we conduct candidate triplet extraction using LLMs; in Step 3, we design the novel fusion module that provides a global view of the extracted knowledge, incorporating entity merging, conflict resolution, and novel triplet discovery. Results show that Graphusion achieves scores of 2.92 and 2.37 out of 3 for entity extraction and relation recognition, respectively. Moreover, we showcase how Graphusion could be applied to the Natural Language Processing (NLP) domain and validate it in an educational scenario. Specifically, we introduce TutorQA, a new expert-verified benchmark for QA, comprising six tasks and a total of 1,200 QA pairs. Using the Graphusion-constructed KG, we achieve a significant improvement on the benchmark, for example, a 9.2% accuracy improvement on sub-graph completion."
271,J,Construction and evaluation of the knowledge graph and large model question-answering system for Jin San Zhen therapy: a tool study for primary care and general practice,FRONTIERS IN MEDICINE,,"Background: Jin San Zhen acupuncture therapy is a classical Traditional Chinese Medicine (TCM) school originating from the Lingnan region of China. It is widely used in China for central nervous system diseases, internal medical conditions, and various pain disorders, benefiting a large number of patients. However, the related clinical evidence and expert experience are scattered across journal articles and monographs, without systematic curation or structured presentation, making it difficult for frontline clinicians and trainees to access in a timely manner. Although general-purpose large language models (LLMs) can generate answers, they are prone to hallucinations and lack traceable evidence-based support. Objective: Based on Chinese clinical research literature and authoritative monographs from the past decade, this study aimed to construct a Knowledge Graph (KG) for Jin San Zhen and to develop an intelligent question-answering (QA) system that combines the KG with LLMs to answer clinical and educational questions related to Jin San Zhen. Methods: We searched Chinese databases such as China National Knowledge Infrastructure (CNKI), Wanfang, and CQVIP for clinical studies published between 2016 and 2025 in which Jin San Zhen was the main intervention, and incorporated information on point combinations and clinical practice from four authoritative monographs. Following a PRISMA-style selection process (905 initial records -> 416 after deduplication -> 191 included studies) we designed an ontology comprising seven entity types (diseases, acupoints, acupoint combinations, treatment plans, etc.) and nine relation types. We used the Qwen3-MAX LLM for information extraction, supplemented by manual verification, and ultimately constructed the KG in Neo4j. We evaluated the KG intrinsically using Precision, Recall, and F1 metrics against a human-annotated gold standard derived from stratified sampling (n = 149 treatment plans from N = 298, 95% confidence level, 5% margin of error), with inter-annotator agreement assessed on 81 overlapping annotations. We then designed a retrieval-augmented generation (RAG) workflow, in which user queries are parsed by an LLM into a limited set of query types, Cipher templates are used to retrieve the graph, structured records are returned, and the LLM generates natural language answers that can be traced back to the original literature. We described the scale and characteristics of the KG using node and relation statistics, and developed 60 evaluation questions covering common query types and major disease categories. Two TCM acupuncture experts were invited to rate, under a double-blind design, the answers produced by three systems-a KG+LLM template model, a KG+LLM hybrid model incorporating fuzzy entity matching and enhanced retrieval strategies, and an LLM-only model-on three dimensions (correctness, professionalism, and completeness) using a 1-5 scale. Paired t-tests were used to compare differences across all pairwise model combinations. Results: The final KG contained 921 nodes and 3,745 relations, including more than 80 diseases, over 360 standardized acupoints, 55 core acupoint combinations, and 298 treatment plans, systematically representing the disease-plan-acupoint relationships and efficacy characteristics of Jin San Zhen. Intrinsic evaluation showed that the KG achieved post-refinement F1 scores of 0.952 for main acupoints (P = 0.959, R = 0.949) and 0.859 for auxiliary acupoints (P = 0.984, R = 0.858), with inter-annotator F1 of 0.991 and 0.999, respectively. Across 60 evaluation questions, the KG +/- LLM hybrid model achieved the highest mean scores on all three dimensions (correctness: 5.00; professionalism: 5.00; completeness: 4.40), significantly outperforming both the KG +/- LLM template model (4.75, 4.77, 4.03) and the LLM-only model (4.05, 3.65, 4.12; all pairwise comparisons p < 0.01). Notably, the hybrid model resolved the completeness limitation observed in the template-based approach, while both KG-enhanced systems produced answers fully traceable to source literature across all 60 questions, with no fabricated claims detected by expert reviewers. Expert feedback indicated that the hybrid model's layered presentation-distinguishing high-confidence graph-derived content from supplementary general knowledge-provides particularly strong clinical reference value. Conclusion: Compared with a general-purpose LLM, the Jin San Zhen knowledge-graph-based QA system-particularly with the tiered confidence generation strategy-markedly improves the accuracy, professionalism, and completeness of answers while providing traceable evidence with explicit confidence labeling. The system thus has the potential to serve as an auxiliary tool for primary care and general practitioners to rapidly access information on Jin San Zhen, perform evidence integration, and support teaching. Future prospective studies in real-world clinical settings are needed to evaluate its actual impact on decision quality and patient outcomes."
272,J,MaterialsGalaxy: A platform fusing experimental and theoretical data in condensed matter physics,CHINESE PHYSICS B,,"Modern materials science generates vast and diverse datasets from both experiments and computations, yet these multi-source, heterogeneous data often remain disconnected in isolated silos. Here, we introduce MaterialsGalaxy, a comprehensive platform that deeply fuses experimental and theoretical data in condensed matter physics. Its core innovation is a structure similarity-driven data fusion mechanism that quantitatively links cross-modal records - spanning diffraction, crystal growth, computations, and literature - based on their underlying atomic structures. The platform integrates artificial intelligence (AI) tools, including large language models (LLMs) for knowledge extraction, generative models for crystal structure prediction, and machine learning property predictors, to enhance data interpretation and accelerate materials discovery. We demonstrate that MaterialsGalaxy effectively integrates these disparate data sources, uncovering hidden correlations and guiding the design of novel materials. By bridging the long-standing gap between experiment and theory, MaterialsGalaxy provides a new paradigm for data-driven materials research and accelerates the discovery of advanced materials."
273,J,Extraction of sleep information from clinical notes of Alzheimer's disease patients using natural language processing,JOURNAL OF THE AMERICAN MEDICAL INFORMATICS ASSOCIATION,,"Objectives Alzheimer's disease (AD) is the most common form of dementia in the United States. Sleep is one of the lifestyle-related factors that has been shown critical for optimal cognitive function in old age. However, there is a lack of research studying the association between sleep and AD incidence. A major bottleneck for conducting such research is that the traditional way to acquire sleep information is time-consuming, inefficient, non-scalable, and limited to patients' subjective experience. We aim to automate the extraction of specific sleep-related patterns, such as snoring, napping, poor sleep quality, daytime sleepiness, night wakings, other sleep problems, and sleep duration, from clinical notes of AD patients. These sleep patterns are hypothesized to play a role in the incidence of AD, providing insight into the relationship between sleep and AD onset and progression.Materials and Methods A gold standard dataset is created from manual annotation of 570 randomly sampled clinical note documents from the adSLEEP, a corpus of 192 000 de-identified clinical notes of 7266 AD patients retrieved from the University of Pittsburgh Medical Center (UPMC). We developed a rule-based natural language processing (NLP) algorithm, machine learning models, and large language model (LLM)-based NLP algorithms to automate the extraction of sleep-related concepts, including snoring, napping, sleep problem, bad sleep quality, daytime sleepiness, night wakings, and sleep duration, from the gold standard dataset.Results The annotated dataset of 482 patients comprised a predominantly White (89.2%), older adult population with an average age of 84.7 years, where females represented 64.1%, and a vast majority were non-Hispanic or Latino (94.6%). Rule-based NLP algorithm achieved the best performance of F1 across all sleep-related concepts. In terms of positive predictive value (PPV), the rule-based NLP algorithm achieved the highest PPV scores for daytime sleepiness (1.00) and sleep duration (1.00), while the machine learning models had the highest PPV for napping (0.95) and bad sleep quality (0.86), and LLAMA2 with finetuning had the highest PPV for night wakings (0.93) and sleep problem (0.89).Discussion Although sleep information is infrequently documented in the clinical notes, the proposed rule-based NLP algorithm and LLM-based NLP algorithms still achieved promising results. In comparison, the machine learning-based approaches did not achieve good results, which is due to the small size of sleep information in the training data.Conclusion The results show that the rule-based NLP algorithm consistently achieved the best performance for all sleep concepts. This study focused on the clinical notes of patients with AD but could be extended to general sleep information extraction for other diseases."
274,J,Enhancing medical AI with retrieval-augmented generation: A mini narrative review,DIGITAL HEALTH,,"Retrieval-augmented generation (RAG) is a powerful technique in artificial intelligence (AI) and machine learning that enhances the capabilities of large language models (LLMs) by integrating external data sources, allowing for more accurate, contextually relevant responses. In medical applications, RAG has the potential to improve diagnostic accuracy, clinical decision support, and patient care. This narrative review explores the application of RAG across various medical domains, including guideline interpretation, diagnostic assistance, clinical trial eligibility screening, clinical information retrieval, and information extraction from scientific literature. Studies highlight the benefits of RAG in providing accurate, up-to-date information, improving clinical outcomes, and streamlining processes. Notable applications include GPT-4 models enhanced with RAG to interpret hepatologic guidelines, assist in differential diagnosis, and aid in clinical trial screening. Furthermore, RAG-based systems have demonstrated superior performance over traditional methods in tasks such as patient diagnosis, clinical decision-making, and medical information extraction. Despite its advantages, challenges remain, particularly in model evaluation, cost-efficiency, and reducing AI hallucinations. This review emphasizes the potential of RAG in advancing medical AI applications and advocates for further optimization of retrieval mechanisms, embedding models, and collaboration between AI researchers and healthcare professionals to maximize RAG's impact on medical practice."
275,J,A new ontology-based approach to automatic information extraction from speech for production disturbance management,INTERNATIONAL JOURNAL OF ADVANCED MANUFACTURING TECHNOLOGY,,"The goal of our research was to design a methodology for extracting systematized knowledge from free speech. The sources of knowledge in our analysis were records of production meetings, focused on production disturbance (PD). The main obstacle is to properly identify the specific meaning of words, in a specific, usually narrow, industry. Machine learning based on data from production records has been increasingly used to build such models. In the case of manufacturing plants with diverse production programs, acquiring the right number and structure of data is not possible; hence, proper identification of such terms is for classical NLP tools, even supported by large language models, not possible. We have attempted to use AI and NLP tools from recorded production meeting recordings to create and continuously update PD's knowledge as a supplement to data from documentation. This is an approach not previously known in the field of production management. The solution we developed consists of an expert-defined specific ontology, based on the pre-processed speeches. At this stage, a lexicon (vocabulary) is also created, supporting the transformation of the speeches into interpretable texts. The model ontology formulated this way is then used to analyze consecutively provided meeting records and thus update the operational ontology. In our research, we used the materials provided to us in the form of records of production meetings from a medium-sized pressure foundry. The obtained results confirm that the adopted knowledge model and the algorithms might be successfully utilized to solve real-world manufacturing problems."
276,C,Squeezing Hidden Knowledge from Scarce Data: A Technique Tested on Limited Data of a Language Pathology,"PROCEEDINGS OF TENTH INTERNATIONAL CONGRESS ON INFORMATION AND COMMUNICATION TECHNOLOGY, ICICT 2025, VOL 5",10th International Congress on Information and Communication Technology-ICICT-Annual,"Limited available data becomes a critical problem in specific machine learning tasks, where approaches, such as large language models, turn impractical. Reaching solutions in such situations requires alternative methods, especially whether the object of study contributes to data scarcity while preventing using techniques such as data augmentation. This scenario led us to formulate the research question on how to squeeze hidden information from small data. In this work, we propose a data processing and evaluation technique to increase information extraction from scarce data. Attributes expressed as trajectories are further pair-related by proximity and assessed by customary learning algorithms. The efficacy of the proposed approach is tested and validated in language samples from individuals affected by a brain injury. Direct classification on raw and normalized data from three sets of lexical attributes works as a baseline. Here, we report two learning algorithms out of five explored, showing consistent behavior and demonstrating satisfactory discriminatory capabilities of the approach in most cases, with encouraging percentages of improvement in terms of f1-measure. We are in the process of testing the approach in language data sets of syntactic and fluency features, but other fields can take advantage of the technique."
277,C,Enhancing Discriminative Representation in Similar Relation Clusters for Few-Shot Continual Relation Extraction,"PROCEEDINGS OF THE 2025 CONFERENCE OF THE NATIONS OF THE AMERICAS CHAPTER OF THE ASSOCIATION FOR COMPUTATIONAL LINGUISTICS: HUMAN LANGUAGE TECHNOLOGIES, VOL 1: LONG PAPERS",2025 Conference of the North American Chapter of the Association for Computational Linguistics-NAACL,"Few-shot Continual Relation Extraction (FCRE) has emerged as a significant challenge in information extraction, necessitating that relation extraction (RE) systems can sequentially identify new relations with limited labeled samples. While existing studies have demonstrated promising results in FCRE, they often overlook the issue of similar relations, which is a critical factor contributing to catastrophic forgetting. In this work, we propose SIRUS, a novel method that utilizes relation descriptions and dynamic clustering on these descriptions to identify similar relations. Leveraging this information, we introduce innovative loss functions specifically designed to enhance the distinction between relations, with a focus on learning to differentiate similar ones. Experimental results show that our approach can effectively mitigate the problem of catastrophic forgetting and outperforms state-of-the-art methods by a large margin. Additionally, we explore the potential of Large Language Model Embeddings (LLMEs) with representation learning and embedding capabilities, demonstrating their promise for advancing FCRE systems."
278,J,The joint extraction of fact-condition statement and super relation in scientific text with table filling method,INFORMATION PROCESSING & MANAGEMENT,,"The fact-condition statements are of great significance in scientific text, via which the natural phenomenon and its precondition are detailly recorded. In previous study, the extraction of fact- condition statement and their relation (super relation) from scientific text is designed as a pipeline that the fact-condition statement and super relation are extracted successively, which leads to the error propagation and lowers the accuracy. To solve this problem, the table filling method is firstly adopted for joint extraction of fact-condition statement and super relation, and the Biaffine Convolution Neural Network model (BCNN) is proposed to complete the task. In the BCNN, the pretrained language model and Biaffine Neural Network work as the encoder, while the Convolution Neural Network is added into the model as the decoder that enhances the local semantic information. Benefiting from the local semantic enhancement, the BCNN achieves the best F1 score with different pretrained language models in comparison with other baselines. Its F1 scores in GeothCF (geological text) reach 73.17% and 71.04% with BERT and SciBERT as pre- trained language model, respectively. Moreover, the local semantic enhancement also increases its training efficiency, via which the tags' distribution can be more easily learned by the model. Besides, the BCNN trained with GeothCF also exhibits the best performance in BioCF (biomedical text), which indicates that it can be widely applied for the information extraction in all scientific domains. Finally, the geological fact-condition knowledge graph is built with BCNN, showing a new pipeline for construction of scientific fact-condition knowledge graph."
279,J,30 years of AI for electrocatalysis: Where we are and what's next?,ESCIENCE,,"Artificial Intelligence (AI) has evolved over the past three decades from the initial pioneering stage to become a transformative force in electrocatalytic research yet is far from realizing its full potential. This review traces foundational applications of AI to electrocatalysis in the 1990s to highlight the integration of AI into the full catalyst development workflow in the last five years, from material design and synthesis to characterization and performance evaluation, and ultimately to knowledge extraction. Emphasis is placed on critical but often partially recognized or neglected bottlenecks: the scale gap between atomistic simulations and macroscopic performance, inverse electrocatalyst design, physical consistency and interpretability of machine learning models, automated experiments, and the scarcity of high-quality, well validated experimental data. Cutting edge solutions such as exascale computing, machine learning interatomic potentials (MLIPs), physics-informed machine learning (PIML), generative models (variational autoencoders, diffusion models, and large language models), and FAIR-compliant data are discussed. This review highlights that the progress of AI for electrocatalysis is inherently data-centric, driven by advances in data-quality, FAIR-compliant infrastructure, and data-driven workflows that connect experiment, simulations, and machine learning. Beyond technical perspectives, this review also emphasizes the importance of interdisciplinary collaboration, industrial relevance, and cautions in respect of hyping. By identifying challenges and highlighting emerging breakthroughs, this work offers a roadmap for advancing AI-driven electrocatalysis towards more predictive, interpretable, and scalable discovery."
280,J,Named Entity Recognition in Online Medical Consultation Using Deep Learning,APPLIED SCIENCES-BASEL,,"Named entity recognition in online medical consultation aims to address the challenge of identifying various types of medical entities within complex and unstructured social text in the context of online medical consultations. This can provide important data support for constructing more powerful online medical consultation knowledge graphs and improving virtual intelligent health assistants. A dataset of 26 medical entity types for named entity recognition for online medical consultations is first constructed. Then, a novel approach for deep named entity recognition in the medical field based on the fusion context mechanism is proposed. This approach captures enhanced local and global contextual semantic representations of online medical consultation text while simultaneously modeling high- and low-order feature interactions between local and global contexts, thereby effectively improving the sequence labeling performance. The experimental results show that the proposed approach can effectively identify 26 medical entity types with an average F1 score of 85.47%, outperforming the state-of-the-art (SOTA) method. The practical significance of this study lies in improving the efficiency and performance of domain-specific knowledge extraction in online medical consultation, supporting the development of virtual intelligent health assistants based on large language models and enabling real-time intelligent medical decision-making, thereby helping patients and their caregivers access common medical information more promptly."
281,J,Evolving text-based technologies for intelligent construction project management,AUTOMATION IN CONSTRUCTION,,"This PRISMA-guided systematic review investigates the application of text-based technologies in Construction Project Management (CPM) for automating project processes. A total of 129 peer-reviewed studies published between 2015 and 2024 across Scopus, Web of Science, and IEEE Xplore were analyzed, encompassing Natural Language Processing (NLP), Large Language Models (LLMs), ontologies and knowledge graphs, text mining, semantic analysis, machine learning on text, and chatbots. A taxonomy was developed to classify approaches into information extraction, knowledge representation, and generative or assistive systems, which were then mapped to PMBOK performance domains to identify areas of practical value. Results reveal that NLP and ontology-based methods are established in compliance checking, safety management, risk analysis, and information management, while LLMs are emerging for summarization, guidance, and decision support across planning and stakeholder communication. Persistent challenges include fragmented data, limited system integration, and difficulties in maintaining domain-specific models. Future research should prioritize semantically aligned data pipelines, CPM-specialized LLMs, and verifiable human-in-the-loop automation."
282,J,Automated finite element modeling method for steel bridges integrating 3D point clouds and intelligent drawing recognition technology,AUTOMATION IN CONSTRUCTION,,"Laser scanning is widely recognized for capturing bridge geometry, yet automation of information extraction and finite element model (FEM) generation remains limited by manual intervention. Therefore, an automated FEM framework for bridges is proposed by integrating point cloud with intelligent recognition techniques. This paper presents three key contributions: (1) A high-precision external dimension extraction algorithm is developed based on bridge-specific features and secondary segmentation, combining projection density, adaptive thresholding, and region-growing RANSAC; (2) An internal drawing extraction framework is established using deep learning-based search, optical character recognition (OCR), and large language models for automated retrieval of structural information; (3) A FEM generation process is implemented by aligning internal and external data through component naming conventions, using a three-step algorithm involving segmentation, element creation, boundary and load assignment. Validations on arch bridge model and pedestrian bridge are conducted. This paper provides an initial exploration toward automated digital modeling in bridge engineering."
283,C,Rumor Detection on Social Media with Crowd Intelligence and ChatGPT-Assisted Networks,"2023 CONFERENCE ON EMPIRICAL METHODS IN NATURAL LANGUAGE PROCESSING, EMNLP 2023",Conference on Empirical Methods in Natural Language Processing (EMNLP),"In the era of widespread dissemination through social media, the task of rumor detection plays a pivotal role in establishing a trustworthy and reliable information environment. Nonetheless, existing research on rumor detection confronts several challenges: the limited expressive power of text encoding sequences, difficulties in domain knowledge coverage and effective information extraction with knowledge graph-based methods, and insufficient mining of semantic structural information. To address these issues, we propose a Crowd Intelligence and ChatGPT-Assisted Network(CICAN) for rumor classification. Specifically, we present a crowd intelligence-based semantic feature learning module to capture textual content's sequential and hierarchical features. Then, we design a knowledge-based semantic structural mining module that leverages ChatGPT for knowledge enhancement. Finally, we construct an entity-sentence heterogeneous graph and design Entity-Aware Heterogeneous Attention to integrate diverse structural information metapaths effectively. Experimental results demonstrate that CICAN achieves performance improvement in rumor detection tasks, validating the effectiveness and rationality of using large language models as auxiliary tools."
284,C,Abbreviation Identification and Disambiguation in Real-World Clinical Narratives,"2025 IEEE 38TH INTERNATIONAL SYMPOSIUM ON COMPUTER-BASED MEDICAL SYSTEMS, CBMS",38th International Symposium on Computer Based Medical Systems-CBMS-Annual,"The use of non-standardized and context-dependent abbreviations in clinical narratives introduces critical challenges for natural language processing models, limiting the accuracy of information extraction, affecting semantic interpretation, and posing risks to clinical decision-making and patient safety. This paper presents a solution to identify and expand abbreviations in Brazilian Portuguese clinical narratives, dealing with a critical challenge in the interpretation of medical texts. The method, which uses the SemClinBr dataset of 1,000 anonymous real-world clinical texts and a low-resource approach that combines the GPT model, prompt engineering and few-shot learning techniques, achieved a success rate of 83.2% in identification and 93.04% in correct expansion. Despite the inherent challenges of real-world data and manual evaluation, the results, which are comparable to established international benchmarks, highlight the potential of large language models (LLMs) to provide efficient comprehension of medical documents, especially for languages with limited data."
285,C,Bridging Gaps in Content and Knowledge for Multimodal Entity Linking,"PROCEEDINGS OF THE 32ND ACM INTERNATIONAL CONFERENCE ON MULTIMEDIA, MM 2024",32nd ACM International Conference on Multimedia (MM),"Multimodal Entity Linking (MEL) aims to address the ambiguity in multimodal mentions and associate them with Multimodal Knowledge Graphs (MMKGs). Existing works primarily focus on designing multimodal interaction and fusion mechanisms to enhance the performance of MEL. However, these methods still overlook two crucial gaps within the MEL task. One is the content discrepancy between mentions and entities, manifested as uneven information density. The other is the knowledge gap, indicating insufficient knowledge extraction and reasoning during the linking process. To bridge these gaps, we propose a novel framework FissFuse, as well as a plug-and-play knowledge-aware re-ranking method KAR. Specifically, FissFuse collaborates with the Fission and Fusion branches, establishing dynamic features for each mention-entity pair and adaptively learning multimodal interactions to alleviate content discrepancy. Meanwhile, KAR is endowed with carefully crafted instruction for intricate knowledge reasoning, serving as re-ranking agents empowered by Large Language Models (LLMs). Extensive experiments on two well-constructed MEL datasets demonstrate outstanding performance of FissFuse compared with various baselines. Comprehensive evaluations and ablation experiments validate the effectiveness and generality of KAR."
